place_id,name_norm,reason,routes_serving
PB_ddade0d2,신리,uncovered_circular_only,울주06
PB_df5ed081,화진중학교,uncovered_circular_only,31|32|36
PB_e069f3fa,마근마을,uncovered_circular_only,울주02
PB_e0802c24,아데라움아파트,uncovered_circular_only,927
PB_e2efaf51,진보테크,non_backbone_variant_only,948
PB_e344d501,후평마을,non_backbone_variant_only,954
PB_e3842d44,언삼교사거리,uncovered_circular_only,343
PB_e425cd2d,울산공고,uncovered_circular_only,922
PB_e4bb25b2,개운초등학교입구,uncovered_circular_only,929
PB_e54b2c6b,국내선,no_pattern,
PB_e55cc743,내기마을,uncovered_circular_only,울주07
PB_e738f56e,에프유,non_backbone_variant_only,214|226
PB_e7c1ce7b,진우,non_backbone_variant_only,246
PB_e8bfb749,은하,non_backbone_variant_only,61|62
PB_e98c4414,명산초등학교,uncovered_circular_only,울주02
PB_e9b1a2d9,대리,uncovered_circular_only,울주06
PB_ea5796bb,고늘사거리,uncovered_circular_only,932
PB_eacb770d,법원,uncovered_circular_only,921|925|928
PB_eb26d1c8,온남초등학교,non_backbone_variant_only,52
PB_eb34d670,일신정밀,non_backbone_variant_only,122|442|702|940
PB_eb7e3951,올림푸스아파트4동,uncovered_circular_only,921
PB_eb85e478,외고산마을입구,non_backbone_variant_only,50
PB_ed23be86,드림마트,uncovered_circular_only,31|32|36
PB_ed75aa93,하늘채빌라,uncovered_circular_only,36
PB_ee17620e,대경넥스빌,uncovered_circular_only,31|32|36|931
PB_ee73b892,법조타운삼거리,uncovered_circular_only,921|928
PB_efac82b8,동평교회,uncovered_circular_only,921|922|928
PB_efdf161a,과학대정문,uncovered_circular_only,31|32|36
PB_f05c0ee8,제일그린,uncovered_circular_only,32
PB_f29b4c18,신정3동주민센터입구,uncovered_circular_only,925
PB_f36f4ec5,센트레빌더테라스,uncovered_circular_only,343
PB_f374cff4,부일맨션,non_backbone_variant_only,953
PB_f6c34a9a,선암호수노인복지관,uncovered_circular_only,923|976
PB_f80bacba,푸른농장,uncovered_circular_only,울주02
PB_f813d6c9,세이브존,uncovered_circular_only,925|975
PB_f8a876a0,상북면주민센터,uncovered_circular_only,울주06
PB_f93d66d7,엘크루 202동,uncovered_circular_only,932
PB_fa48fcb2,중전기복개천,uncovered_circular_only,31|36
PB_fa949985,구법원,uncovered_circular_only,921|928
PB_fc00804f,내광마을,uncovered_circular_only,울주01
PB_fcf3ce99,창좌,non_backbone_variant_only,942
PB_fd80b75a,신한로얄멤버스아파트,uncovered_circular_only,925
PB_fd9e7331,올림푸스아파트1동,uncovered_circular_only,921
PB_feec8df1,국민은행뒤사거리,uncovered_circular_only,31|32|36
PB_ff76350f,벽산아파트,uncovered_circular_only,927
